POO:   
    Mon Jul 17 00:00:00 EEST 2023 | Ionel | 35
    Fri Feb 17 00:00:00 EET 2023 | Lucian | 34
    Mon Feb 27 00:00:00 EET 2023 | Madalina | 35
    Wed Mar 01 00:00:00 EET 2023 | Madalina | 45
CTS:   
    Fri Apr 15 00:00:00 EEST 2022 | Maria | 120
BTI:   
    Wed Mar 12 00:00:00 EET 2025 | Marian | 110
    Wed Mar 26 00:00:00 EET 2025 | Victor | 110
    Sat Mar 29 00:00:00 EET 2025 | Darius | 85
PAW:   
    Tue Apr 20 00:00:00 EEST 2021 | Bogdan | 35
PSM:   
    Sun Feb 18 00:00:00 EET 2024 | Mihai | 121
Analiza:   
    Mon Mar 17 00:00:00 EET 2025 | Gabriela | 120
